seuil	F	Iter
1	5	5
2	5	5
3	5	5
4	5	5
5	4	5
6	4	5
7	4	5
8	4	5
9	4	5
10	4	5
11	4	5
12	4	5
13	4	5
14	4	5
15	4	5
16	4	5
17	4	5
18	4	5
19	4	5
20	4	5
21	4	5
22	4	5
23	4	5
24	4	5
25	4	5
26	4	5
27	4	5
28	4	5
29	4	5
30	4	5
31	4	5
32	4	5
33	4	5
34	4	5
35	4	5
36	4	5
37	4	5
38	4	5
39	4	5
40	4	5
41	4	5
42	4	5
43	4	5
44	4	5
45	4	5
46	4	5
47	4	5
48	4	5
49	4	5
50	4	5
51	4	5
52	4	5
53	4	12
54	4	12
55	4	12
56	4	12
57	4	12
58	4	12
59	4	12
60	4	12
61	4	12
62	4	12
63	4	12
64	4	12
65	4	12
66	4	12
67	4	12
68	4	12
69	4	12
70	4	12
71	4	12
72	4	12
73	4	12
74	4	12
75	4	12
76	4	12
77	4	12
78	4	12
79	4	12
80	4	12
81	4	12
82	4	12
83	4	12
84	4	12
85	4	12
86	4	12
87	4	12
88	4	12
89	4	12
90	4	12
91	4	12
92	4	13
93	4	12
94	4	13
95	4	12
96	4	12
97	4	13
98	4	13
99	4	12
