n0	cst	final	iter	Alt	Nb_iter
1	5	4	19		5	21
1	6	4	19		4	21
1	7	4	19		4	20
1	8	4	19		4	20
1	9	4	19		4	20
1	10	4	19		4	19
1	11	4	19		4	19
1	12	4	19		4	19
1	13	4	19		4	19
1	14	4	19		4	19
1	15	4	19		4	19
1	16	4	19		4	19
1	17	4	19		4	19
1	18	4	19		4	19
1	19	4	19		4	19
1	20	4	19		4	19
1	21	4	19		4	19
1	22	4	19		4	19
1	23	4	19		4	19
1	24	4	19		4	18
1	25	4	19		4	18
1	26	4	19		4	18
1	27	4	19		4	18
1	28	4	19		4	18
1	29	4	19		4	18
1	30	4	19		4	18
1	31	4	19		4	18
1	32	4	19		4	18
1	33	4	19		4	19
1	34	4	19		4	19
1	35	4	19		4	19
1	36	4	19		4	19
1	37	4	19		4	19
1	38	4	19		4	19
1	39	4	19		4	19
1	40	4	19		4	19
1	41	4	19		4	19
1	42	4	19		4	19
1	43	4	19		4	19
1	44	4	19		4	19
1	45	4	19		4	19
1	46	4	19		4	19
1	47	4	19		4	19
1	48	4	19		4	19
1	49	4	19		4	19
1	50	4	19		4	19
1	51	4	19		4	19
1	52	4	19		4	19
1	53	4	19		4	19
1	54	4	19		4	19
1	55	4	19		4	19
1	56	4	19		4	19
1	57	4	19		4	19
1	58	4	19		4	19
1	59	4	19		4	19
1	60	4	19		4	19
1	61	4	19		4	19
1	62	4	19		4	19
1	63	4	19		4	19
1	64	4	19		4	19
1	65	4	19		4	19
1	66	4	19		4	19
1	67	4	19		4	19
1	68	4	19		4	19
1	69	4	19		4	19
1	70	4	19		4	19
1	71	4	19		4	19
1	72	4	19		4	19
1	73	4	19		4	19
1	74	4	19		4	19
1	75	4	19		4	19
1	76	4	19		4	19
1	77	4	19		4	19
1	78	4	19		4	19
1	79	4	19		4	19
1	80	4	19		4	19
1	81	4	19		4	19
1	82	4	19		4	19
1	83	4	19		4	19
1	84	4	19		4	19
1	85	4	19		4	19
1	86	4	19		4	19
1	87	4	19		4	19
1	88	4	19		4	19
1	89	4	19		4	19
1	90	4	19		4	19
1	91	4	19		4	19
1	92	4	19		4	19
1	93	4	19		4	19
1	94	4	19		4	19
1	95	4	19		4	19
1	96	4	19		4	19
1	97	4	19		4	19
1	98	4	19		4	19
1	99	4	19		4	19
1	100	4	19		4	19
1	101	4	19		4	19
1	102	4	19		4	19
1	103	4	19		4	19
1	104	4	19		4	19
1	105	4	19		4	19
1	106	4	19		4	19
1	107	4	19		4	19
1	108	4	19		4	19
1	109	4	19		4	19
1	110	4	19		4	19
1	111	4	19		4	19
1	112	4	19		4	19
1	113	4	19		4	19
1	114	4	19		4	19
1	115	4	19		4	19
1	116	4	19		4	19
1	117	4	19
