n0	F	Iter
0.1	3	12
0.2	3	12
0.3	4	5
0.4	4	5
0.5	4	5
0.6	4	5
0.7	4	5
0.8	4	5
0.9	4	5
1	4	5
1.1	4	5
1.2	4	5
1.3	4	5
1.4	4	5
1.5	4	5
1.6	4	5
1.7	3	12
1.8	3	12
1.9	4	5
2	4	5
2.1	4	5
2.2	4	5
2.3	4	5
2.4	4	5
2.5	4	5
2.6	4	5
2.7	4	5
2.8	4	5
2.9	4	5
3	4	5
3.1	4	5
3.2	4	5
3.3	4	5
3.4	4	5
3.5	4	5
3.6	4	5
3.7	4	5
3.8	4	5
3.9	4	5
4	4	5
4.1	4	5
4.2	4	5
4.3	5	5
4.4	5	5
4.5	5	5
4.6	4	5
4.7	4	5
4.8	4	5
4.9	4	5
5	4	5
5.1	4	5
5.2	5	5
5.3	5	5
5.4	5	5
5.5	6	5
5.6	6	5
5.7	5	5
5.8	6	5
5.9	6	5
6	6	5
6.1	6	5
6.2	3	12
6.3	3	13
6.4	3	12
6.5	3	13
6.6	3	12
6.7	3	12
6.8	5	12
6.9	3	12
7	4	12
7.1	3	12
7.2	4	12
7.3	3	12
7.4	4	12
7.5	3	12
7.6	4	12
7.7	5	6
7.79999	5	12
7.89999	4	12
7.99999	4	12
8.09999	4	12
8.2	3	12
8.3	4	12
8.4	3	12
8.5	4	12
8.6	3	12
8.7	5	12
8.8	4	12
8.9	4	12
9	4	13
9.1	5	13
9.2	3	13
9.3	5	13
9.4	6	12
9.5	4	12
9.6	4	13
9.7	4	13
9.8	4	13
9.9	5	12
